麻,ㄇㄚˊ,"generic name for hemp, flax etc / hemp or flax fiber for textile materials / sesame / (of materials) rough or coarse / pocked / pitted / to have pins and needles or tingling / to feel numb",縷
麻雀,ㄇㄚˊ ㄑㄩㄝˋ,sparrow / (dialect) mahjong,
馬虎,ㄇㄚˇ ㄏㄨ,careless / sloppy / negligent / skimpy,
埋,ㄇㄞˊ,to blame,
買單,ㄇㄞˇ ㄉㄢ,to pay the restaurant bill,
買賣,ㄇㄞˇ ㄇㄞˋ,buying and selling / business / business transactions,樁 / 次
饅頭,ㄇㄢˊ ㄊㄡ˙,steamed roll / steamed bun / steamed bread,個
蠻,ㄇㄢˊ,barbarian / bullying / very / quite / rough / reckless,
滿,ㄇㄢˇ,to fill / full / filled / packed / fully / completely / quite / to reach the limit / to satisfy / satisfied / contented,
漫畫,ㄇㄢˋ ㄏㄨㄚˋ,caricature / cartoon / Japanese manga,
忙碌,ㄇㄤˊ ㄌㄨˋ,busy / bustling,
盲目,ㄇㄤˊ ㄇㄨˋ,blind / blindly / ignorant / lacking understanding,
矛盾,ㄇㄠˊ ㄉㄨㄣˋ,contradiction / conflicting views / contradictory,個
毛巾,ㄇㄠˊ ㄐㄧㄣ,towel,條
冒,ㄇㄠˋ,"to emit / to give off / to send out (or up, forth) / to brave / to face / reckless / to falsely adopt (sb's identity etc) / to feign / (literary) to cover",
煤,ㄇㄟˊ,coal,塊
梅花,ㄇㄟˊ ㄏㄨㄚ,plum blossom / clubs ♣ (a suit in card games) / wintersweet (dialect),
美觀,ㄇㄟˇ ㄍㄨㄢ,pleasing to the eye / beautiful / artistic,
美妙,ㄇㄟˇ ㄇㄧㄠˋ,beautiful / wonderful / splendid,
魅力,ㄇㄟˋ ㄌㄧˋ,charm / fascination / glamor / charisma,
門,ㄇㄣˊ,"gate / door / gateway / doorway / opening / valve / switch / way to do something / knack / family / house / (religious) sect / school (of thought) / class / category / phylum or division (taxonomy) / classifier for large guns / classifier for lessons, subjects, branches of technology / (suffix) -gate (i.e. scandal; derived from Watergate)",扇 / 個
門票,ㄇㄣˊ ㄆㄧㄠˋ,"ticket (for theater, cinema etc)",
門診,ㄇㄣˊ ㄓㄣˇ,outpatient service,
猛,ㄇㄥˇ,ferocious / fierce / violent / brave / suddenly / abrupt / (slang) awesome,
夢到,ㄇㄥˋ ㄉㄠˋ,to dream of / to dream about,
夢想,ㄇㄥˋ ㄒㄧㄤˇ,(fig.) to dream of / dream,
夢想,ㄇㄥˋ ㄒㄧㄤˇ,(fig.) to dream of / dream,
迷,ㄇㄧˊ,to bewilder / crazy about / fan / enthusiast / lost / confused,
迷糊,ㄇㄧˊ ㄏㄨˊ,muddle-headed / dazed / only half conscious,
迷失,ㄇㄧˊ ㄕ,to lose (one's bearings) / to get lost,
迷信,ㄇㄧˊ ㄒㄧㄣˋ,superstition / to have a superstitious belief (in sth),
迷信,ㄇㄧˊ ㄒㄧㄣˋ,superstition / to have a superstitious belief (in sth),
密,ㄇㄧˋ,secret / confidential / close / thick / dense,
蜜蜂,ㄇㄧˋ ㄈㄥ,bee / honeybee,隻 / 群
秘書,ㄇㄧˋ ㄕㄨ,secretary,
祕書,ㄇㄧˋ ㄕㄨ,secretary,
棉,ㄇㄧㄢˊ,generic term for cotton or kapok / cotton / padded or quilted with cotton,
棉被,ㄇㄧㄢˊ ㄅㄟˋ,comforter / quilt,條 / 面
棉花,ㄇㄧㄢˊ ㄏㄨㄚ,cotton,
免得,ㄇㄧㄢˇ ㄉㄜ˙,so as not to / so as to avoid,
勉強,ㄇㄧㄢˇ ㄑㄧㄤˇ,to do with difficulty / to force sb to do sth / reluctant / barely enough,
面,ㄇㄧㄢˋ,"face / side / surface / aspect / top / classifier for flat surfaces such as drums, mirrors, flags etc",
面對,ㄇㄧㄢˋ ㄉㄨㄟˋ,to confront / to face,
面臨,ㄇㄧㄢˋ ㄌㄧㄣˊ,to face sth / to be confronted with,
面貌,ㄇㄧㄢˋ ㄇㄠˋ,appearance / face / features,個
面子,ㄇㄧㄢˋ ㄗ˙,"outer surface / outside / honor / reputation / face (as in ""losing face"") / self-respect / feelings / (medicinal) powder",
麵粉,ㄇㄧㄢˋ ㄈㄣˇ,flour,
妙,ㄇㄧㄠˋ,clever / wonderful,
滅亡,ㄇㄧㄝˋ ㄨㄤˊ,to be destroyed / to become extinct / to perish / to die out / to destroy / to exterminate,
民間,ㄇㄧㄣˊ ㄐㄧㄢ,among the people / popular / folk / non-governmental / involving people rather than governments,
民謠,ㄇㄧㄣˊ ㄧㄠˊ,ballad / folk song,
民眾,ㄇㄧㄣˊ ㄓㄨㄥˋ,populace / masses / the people,
民主,ㄇㄧㄣˊ ㄓㄨˇ,democracy,
民主,ㄇㄧㄣˊ ㄓㄨˇ,democracy,
名,ㄇㄧㄥˊ,name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people,
名稱,ㄇㄧㄥˊ ㄔㄥ,name (of a thing) / name (of an organization),
名單,ㄇㄧㄥˊ ㄉㄢ,list of names,
名牌,ㄇㄧㄥˊ ㄆㄞˊ,famous brand / nameplate / name tag,
名片,ㄇㄧㄥˊ ㄆㄧㄢˋ,(business) card,
明白,ㄇㄧㄥˊ ㄅㄞˊ,clear / obvious / unequivocal / to understand / to realize,
明亮,ㄇㄧㄥˊ ㄌㄧㄤˋ,bright / shining / glittering / to become clear,
明明,ㄇㄧㄥˊ ㄇㄧㄥˊ,obviously / plainly / undoubtedly / definitely,
明確,ㄇㄧㄥˊ ㄑㄩㄝˋ,clear-cut / definite / explicit / to clarify / to specify / to make definite,
命,ㄇㄧㄥˋ,"life / fate / order or command / to assign a name, title etc",
命令,ㄇㄧㄥˋ ㄌㄧㄥˋ,order / command,道 / 個
命令,ㄇㄧㄥˋ ㄌㄧㄥˋ,order / command,道 / 個
命運,ㄇㄧㄥˋ ㄩㄣˋ,fate / destiny,個
磨,ㄇㄛˊ,grindstone / to grind / to turn round,
模仿,ㄇㄛˊ ㄈㄤˇ,to imitate / to copy / to emulate / to mimic / model,
模糊,ㄇㄛˊ ㄏㄨˊ,vague / indistinct / fuzzy,
模型,ㄇㄛˊ ㄒㄧㄥˊ,model / mold / matrix / pattern,
模樣,ㄇㄛˊ ㄧㄤˋ,look / style / appearance / approximation / about / also pr. [mo2 yang4],個
抹,ㄇㄛˇ,to plaster / to go around / to skirt,
目標,ㄇㄨˋ ㄅㄧㄠ,target / goal / objective,個
目的地,ㄇㄨˋ ㄉㄧˋ ㄉㄧˋ,destination (location),
目錄,ㄇㄨˋ ㄌㄨˋ,catalog / table of contents / directory (on computer hard drive) / list / contents,
哪怕,ㄋㄚˇ ㄆㄚˋ,even / even if / even though / no matter how,
奶粉,ㄋㄞˇ ㄈㄣˇ,powdered milk,
耐心,ㄋㄞˋ ㄒㄧㄣ,to be patient / patience,
耐用,ㄋㄞˋ ㄩㄥˋ,durable,
難道,ㄋㄢˊ ㄉㄠˋ,don't tell me ... / could it be that...?,
難得,ㄋㄢˊ ㄉㄜˊ,seldom / rare / hard to come by,
難受,ㄋㄢˊ ㄕㄡˋ,to feel unwell / to suffer pain / to be difficult to bear,
難以,ㄋㄢˊ ㄧˇ,"hard to (predict, imagine etc)",
男性,ㄋㄢˊ ㄒㄧㄥˋ,the male sex / a male,
腦袋,ㄋㄠˇ ㄉㄞˋ,head / skull / brains / mental capability,顆 / 個
腦筋,ㄋㄠˇ ㄐㄧㄣ,brains / mind / head / way of thinking,
鬧,ㄋㄠˋ,noisy / cacophonous / to make noise / to disturb / to vent (feelings) / to fall ill / to have an attack (of sickness) / to go in (for some activity) / to joke,
鬧區,ㄋㄠˋ ㄑㄩ,downtown,
內部,ㄋㄟˋ ㄅㄨˋ,"interior / inside (part, section) / internal",
內地,ㄋㄟˋ ㄉㄧˋ,inland / interior / hinterland,
內行,ㄋㄟˋ ㄏㄤˊ,expert / adept / experienced / an expert / a professional,
內科,ㄋㄟˋ ㄎㄜ,internal medicine / general medicine,
能幹,ㄋㄥˊ ㄍㄢˋ,capable / competent,
能源,ㄋㄥˊ ㄩㄢˊ,energy / power source,個
泥,ㄋㄧˊ,restrained,
泥土,ㄋㄧˊ ㄊㄨˇ,earth / soil / mud / clay,
黏,ㄋㄧㄢˊ,sticky / glutinous / (Tw) to adhere / to stick on / to glue,
粘,ㄋㄧㄢˊ,to glue / to paste / to adhere / to stick to,
黏,ㄋㄧㄢˊ,sticky / glutinous / (Tw) to adhere / to stick on / to glue,
粘,ㄋㄧㄢˊ,to glue / to paste / to adhere / to stick to,
尿,ㄋㄧㄠˋ,see 尿[niao4],
尿,ㄋㄧㄠˋ,see 尿[niao4],
捏,ㄋㄧㄝ,to pinch (with one's fingers) / to knead / to make up,
寧可,ㄋㄧㄥˊ ㄎㄜˇ,preferably / one would prefer to...(or not to...) / would rather / (would) be better to / (to pick) the lesser of two evils,
寧願,ㄋㄧㄥˊ ㄩㄢˋ,would rather / better,
鈕扣,ㄋㄧㄡˇ ㄎㄡˋ,button (on clothing),
農場,ㄋㄨㄥˊ ㄔㄤˇ,farm,
農產品,ㄋㄨㄥˊ ㄔㄢˇ ㄆㄧㄣˇ,agricultural produce,
農村,ㄋㄨㄥˊ ㄘㄨㄣ,rural area / village,個
農民,ㄋㄨㄥˊ ㄇㄧㄣˊ,peasant / farmer,個
農夫,ㄋㄨㄥˊ ㄈㄨ,peasant / farmer,
農藥,ㄋㄨㄥˊ ㄧㄠˋ,agricultural chemical / farm chemical / pesticide,
濃,ㄋㄨㄥˊ,concentrated / dense / strong (smell etc),
濃厚,ㄋㄨㄥˊ ㄏㄡˋ,"dense / thick (fog, clouds etc) / to have a strong interest in / deep / fully saturated (color)",
暖,ㄋㄨㄢˇ,warm / to warm,
暖和,ㄋㄨㄢˇ ㄏㄨㄛˋ,warm / nice and warm,
暖氣,ㄋㄨㄢˇ ㄑㄧˋ,central heating / heater / warm air,
女性,ㄋㄩˇ ㄒㄧㄥˋ,woman / the female sex,
偶然,ㄡˇ ㄖㄢˊ,incidentally / occasional / occasionally / by chance / randomly,
排,ㄆㄞˊ,"a row / a line / to set in order / to arrange / to line up / to eliminate / to drain / to push open / platoon / raft / classifier for lines, rows etc",
排,ㄆㄞˊ,"a row / a line / to set in order / to arrange / to line up / to eliminate / to drain / to push open / platoon / raft / classifier for lines, rows etc",
排斥,ㄆㄞˊ ㄔˋ,to reject / to exclude / to eliminate / to remove / to repel,
排列,ㄆㄞˊ ㄌㄧㄝˋ,to arrange in order / (math.) permutation,
排球,ㄆㄞˊ ㄑㄧㄡˊ,volleyball,個
派,ㄆㄞˋ,clique / school / group / faction / to dispatch / to send / to assign / to appoint / pi (Greek letter Ππ) / the circular ratio pi = 3.1415926 / (loanword) pie,
攀,ㄆㄢ,to climb (by pulling oneself up) / to implicate / to claim connections of higher status,
盤,ㄆㄢˊ,"plate / dish / tray / board / hard drive (computing) / to build / to coil / to check / to examine / to transfer (property) / to make over / classifier for food: dish, helping / to coil / classifier for coils of wire / classifier for games of chess",
判斷,ㄆㄢˋ ㄉㄨㄢˋ,to judge / to determine / judgment,
泡,ㄆㄠˋ,bubble / foam / blister (i.e. skin bubble) / to soak / to steep / to infuse / to dawdle / to shilly-shally / to hang about / to pick up (a girl) / to get off with (a sexual partner) / classifier for occurrences of an action / classifier for number of infusions,
炮,ㄆㄠˋ,cannon / firecracker,座
砲,ㄆㄠˋ,variant of 炮[pao4],
賠,ㄆㄟˊ,to compensate for loss / to indemnify / to suffer a financial loss,
賠償,ㄆㄟˊ ㄔㄤˊ,to compensate,
陪同,ㄆㄟˊ ㄊㄨㄥˊ,to accompany,
佩服,ㄆㄟˋ ㄈㄨˊ,to admire,
噴,ㄆㄣ,"(of a smell) strong / peak season (of a crop) / (classifier for the ordinal number of a crop, in the context of multiple harvests)",
盆,ㄆㄣˊ,"basin / flower pot / unit of volume equal to 12 斗[dou3] and 8 升[sheng1], approx 128 liters",個
膨脹,ㄆㄥˊ ㄓㄤˋ,to expand / to inflate / to swell,
捧,ㄆㄥˇ,to clasp / to cup the hands / to hold up with both hands / to offer (esp. in cupped hands) / to praise / to flatter,
碰見,ㄆㄥˋ ㄐㄧㄢˋ,to run into / to meet (unexpectedly) / to bump into,
匹,ㄆㄧ,"classifier for horses, mules etc / Taiwan pr. [pi1] / ordinary person / classifier for cloth: bolt / horsepower",
批,ㄆㄧ,"to ascertain / to act on / to criticize / to pass on / classifier for batches, lots, military flights / tier (for the ranking of universities and colleges)",
批,ㄆㄧ,"to ascertain / to act on / to criticize / to pass on / classifier for batches, lots, military flights / tier (for the ranking of universities and colleges)",
批判,ㄆㄧ ㄆㄢˋ,to criticize / critique,個
皮,ㄆㄧˊ,leather / skin / fur / pico- (one trillionth) / naughty,張
披,ㄆㄧ,to drape over one's shoulders / to open / to unroll / to split open / to spread out,
疲倦,ㄆㄧˊ ㄐㄩㄢˋ,to tire / tired,
疲勞,ㄆㄧˊ ㄌㄠˊ,fatigue / wearily / weariness / weary,
脾氣,ㄆㄧˊ ㄑㄧˋ,character / temperament / disposition / bad temper,個
屁股,ㄆㄧˋ ㄍㄨˇ,buttocks / bottom / butt / back part,
篇,ㄆㄧㄢ,"sheet / piece of writing / bound set of bamboo slips used for record keeping (old) / classifier for written items: chapter, article",
偏,ㄆㄧㄢ,"to lean / to slant / oblique / prejudiced / to deviate from average / to stray from the intended line / stubbornly / contrary to expectations / left-hand side of a split Chinese character, often the key or radical",
偏偏,ㄆㄧㄢ ㄆㄧㄢ,(indicates that sth turns out just the opposite of what one would wish) unfortunately / as it happened / (indicates that sth is the opposite of what would be normal or reasonable) stubbornly / contrarily / against reason / (indicates that sb or a group is singled out) precisely / only / of all people,
偏食,ㄆㄧㄢ ㄕˊ,"partial to (some kinds of food, usu. unhealthy) / having likes and dislikes / partial eclipse",
偏向,ㄆㄧㄢ ㄒㄧㄤˋ,partial towards sth / to prefer / to incline / erroneous tendencies (Leftist or Revisionist deviation),
騙,ㄆㄧㄢˋ,to cheat / to swindle / to deceive / to get on (a horse etc) by swinging one leg over,
片面,ㄆㄧㄢˋ ㄇㄧㄢˋ,unilateral / one-sided,
片子,ㄆㄧㄢˋ ㄗ˙,thin flake / small piece,
飄,ㄆㄧㄠ,to float,
拼命,ㄆㄧㄣ ㄇㄧㄥˋ,to do one's utmost / with all one's might / at all costs / (to work or fight) as if one's life depends on it,
貧窮,ㄆㄧㄣˊ ㄑㄩㄥˊ,poor / impoverished,
品德,ㄆㄧㄣˇ ㄉㄜˊ,moral character,
聘請,ㄆㄧㄥˋ ㄑㄧㄥˇ,to engage / to hire (a lawyer etc),
憑,ㄆㄧㄥˊ,"to lean against / to rely on / on the basis of / no matter (how, what etc) / proof",
平常,ㄆㄧㄥˊ ㄔㄤˊ,ordinary / common / usually / ordinarily,
平衡,ㄆㄧㄥˊ ㄏㄥˊ,balance / equilibrium,
平靜,ㄆㄧㄥˊ ㄐㄧㄥˋ,tranquil / undisturbed / serene,
平均,ㄆㄧㄥˊ ㄐㄩㄣ,average / on average / evenly / in equal proportions,
婆婆,ㄆㄛˊ ㄆㄛ˙,husband's mother / mother-in-law / grandma,
頗,ㄆㄛˇ,rather / quite / considerably / oblique / inclined / slanting / Taiwan pr. [po3],
破爛,ㄆㄛˋ ㄌㄢˋ,worn-out / rotten / dilapidated / tattered / ragged / rubbish / junk,
破裂,ㄆㄛˋ ㄌㄧㄝˋ,to rupture / to fracture / to break down / (linguistics) plosion,
迫切,ㄆㄛˋ ㄑㄧㄝˋ,urgent / pressing,
撲,ㄆㄨ,to throw oneself at / to pounce on / to devote one's energies / to flap / to flutter / to dab / to pat / to bend over,
撲滅,ㄆㄨ ㄇㄧㄝˋ,to eradicate / to extinguish,
鋪,ㄆㄨ,plank bed / place to sleep / shop / store / (old) relay station,
普及,ㄆㄨˇ ㄐㄧˊ,to spread extensively / to generalize / widespread / popular / universal / ubiquitous / pervasive,
普通,ㄆㄨˇ ㄊㄨㄥ,common / ordinary / general / average,
普通話,ㄆㄨˇ ㄊㄨㄥ ㄏㄨㄚˋ,Mandarin (common language) / Putonghua (common speech of the Chinese language) / ordinary speech,
瀑布,ㄆㄨˋ ㄅㄨˋ,waterfall,
欺騙,ㄑㄧ ㄆㄧㄢˋ,to deceive / to cheat,
妻子,ㄑㄧ ㄗˇ,wife,個
期,ㄑㄧˊ,"a period of time / phase / stage / classifier for issues of a periodical, courses of study / time / term / period / to hope / Taiwan pr. [qi2]",
期限,ㄑㄧˊ ㄒㄧㄢˋ,time limit / deadline / allotted time,
其,ㄑㄧˊ,his / her / its / their / that / such / it (refers to sth preceding it),
其餘,ㄑㄧˊ ㄩˊ,the rest / the others / remaining / remainder / apart from them,
棋,ㄑㄧˊ,chess / chess-like game / a game of chess / chess piece,盤 / 個 / 顆
齊,ㄑㄧˊ,neat / even / level with / identical / simultaneous / all together / to even sth out,
齊全,ㄑㄧˊ ㄑㄩㄢˊ,complete / comprehensive,
旗袍,ㄑㄧˊ ㄆㄠˊ,Chinese-style dress / cheongsam,
旗子,ㄑㄧˊ ㄗ˙,flag / banner,面
歧視,ㄑㄧˊ ㄕˋ,to discriminate against / discrimination,
起,ㄑㄧˇ,"to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group",
起,ㄑㄧˇ,"to rise / to raise / to get up / to set out / to start / to appear / to launch / to initiate (action) / to draft / to establish / to get (from a depot or counter) / verb suffix, to start / starting from (a time, place, price etc) / classifier for occurrences or unpredictable events: case, instance / classifier for groups: batch, group",
起初,ㄑㄧˇ ㄔㄨ,originally / at first / at the outset,
起火,ㄑㄧˇ ㄏㄨㄛˇ,to catch fire / to cook / to get angry,
企圖,ㄑㄧˋ ㄊㄨˊ,to attempt / to try / attempt,種
企圖,ㄑㄧˋ ㄊㄨˊ,to attempt / to try / attempt,種
汽油,ㄑㄧˋ ㄧㄡˊ,gasoline,
器材,ㄑㄧˋ ㄘㄞˊ,equipment / material,
器官,ㄑㄧˋ ㄍㄨㄢ,organ (part of body tissue) / apparatus,
氣氛,ㄑㄧˋ ㄈㄣ,atmosphere / mood,
氣憤,ㄑㄧˋ ㄈㄣˋ,indignant / furious,
氣候,ㄑㄧˋ ㄏㄡˋ,climate / atmosphere / situation,種
氣味,ㄑㄧˋ ㄨㄟˋ,odor / scent,
氣息,ㄑㄧˋ ㄒㄧˊ,breath / smell / odor / flavor,
氣象,ㄑㄧˋ ㄒㄧㄤˋ,meteorological feature / meteorology / atmosphere / ambience / scene,個
千萬,ㄑㄧㄢ ㄨㄢˋ,ten million / countless / many / one must by all means,
牽,ㄑㄧㄢ,to lead along / to pull (an animal on a tether) / (bound form) to involve / to draw in,
遷,ㄑㄧㄢ,to move / to shift / to change (a position or location etc) / to promote,
簽,ㄑㄧㄢ,to sign one's name / visa / variant of 籤[qian1],
簽訂,ㄑㄧㄢ ㄉㄧㄥˋ,to agree to and sign (a treaty etc),
簽約,ㄑㄧㄢ ㄩㄝ,to sign a contract or agreement,
簽字,ㄑㄧㄢ ㄗˋ,to sign (one's name) / signature,
前方,ㄑㄧㄢˊ ㄈㄤ,ahead / the front,
前進,ㄑㄧㄢˊ ㄐㄧㄣˋ,to go forward / to forge ahead / to advance / onward,
前頭,ㄑㄧㄢˊ ㄊㄡˊ,in front / at the head / ahead / above,
前途,ㄑㄧㄢˊ ㄊㄨˊ,prospects / future outlook / journey,
前往,ㄑㄧㄢˊ ㄨㄤˇ,to leave for / to proceed towards / to go,
前院,ㄑㄧㄢˊ ㄩㄢˋ,front courtyard / front yard,
欠,ㄑㄧㄢˋ,deficient / to owe / to lack / yawn,
歉意,ㄑㄧㄢˋ ㄧˋ,apology / regret,
槍,ㄑㄧㄤ,gun / firearm / rifle / spear / thing with shape or function similar to a gun / to substitute for another person in a test / to knock / classifier for rifle shots,支 / 把 / 桿 / 條 / 枝
強,ㄑㄧㄤˊ,to force / to compel / to strive / to make an effort,
強大,ㄑㄧㄤˊ ㄉㄚˋ,large / formidable / powerful / strong,
強度,ㄑㄧㄤˊ ㄉㄨˋ,strength / intensity,個
強烈,ㄑㄧㄤˊ ㄌㄧㄝˋ,intense / (violently) strong,
強人,ㄑㄧㄤˊ ㄖㄣˊ,"(politics) strongman / (in the workplace, esp. of a woman) a highly capable person / (old) robber",
牆壁,ㄑㄧㄤˊ ㄅㄧˋ,wall,
強迫,ㄑㄧㄤˇ ㄆㄛˋ,to compel / to force,
搶救,ㄑㄧㄤˇ ㄐㄧㄡˋ,to rescue,
敲,ㄑㄧㄠ,to hit / to strike / to tap / to rap / to knock / to rip sb off / to overcharge,
瞧,ㄑㄧㄠˊ,to look at / to see / to see (a doctor) / to visit,
巧,ㄑㄧㄠˇ,opportunely / coincidentally / as it happens / skillful / timely,
巧妙,ㄑㄧㄠˇ ㄇㄧㄠˋ,ingenious / clever / ingenuity / artifice,
悄悄,ㄑㄧㄠˇ ㄑㄧㄠˇ,quietly / secretly / stealthily / quiet / worried / Taiwan pr. [qiao3 qiao3],
切,ㄑㄧㄝ,"definitely / absolutely (not) / (scoffing or dismissive interjection) Yeah, right. / Tut! / to grind / close to / eager / to correspond to / see also 反切[fan3 qie4]",
且,ㄑㄧㄝˇ,and / moreover / yet / for the time being / to be about to / both (... and...),
親愛,ㄑㄧㄣ ㄞˋ,dear / beloved / darling,
親口,ㄑㄧㄣ ㄎㄡˇ,one's own mouth / fig. in one's own words / to say sth personally,
親戚,ㄑㄧㄣ ㄑㄧ,a relative (i.e. family relation),門 / 個 / 位
親人,ㄑㄧㄣ ㄖㄣˊ,one's close relatives,
侵害,ㄑㄧㄣ ㄏㄞˋ,to encroach on / to infringe on,
侵入,ㄑㄧㄣ ㄖㄨˋ,to make (military) incursions / to invade / to intrude into / to trespass / to gain unauthorized access (computing),
勤勞,ㄑㄧㄣˊ ㄌㄠˊ,hardworking / industrious / diligent,
寢室,ㄑㄧㄣˇ ㄕˋ,bedroom / dormitory,間
青,ㄑㄧㄥ,green / blue / black / youth / young (of people),
清,ㄑㄧㄥ,clear / distinct / quiet / just and honest / pure / to settle or clear up / to clean up or purge,
清晨,ㄑㄧㄥ ㄔㄣˊ,early morning,
清除,ㄑㄧㄥ ㄔㄨˊ,to clear away / to eliminate / to get rid of,
清楚,ㄑㄧㄥ ㄔㄨˇ,clear / distinct / to understand thoroughly / to be clear about,
清淡,ㄑㄧㄥ ㄉㄢˋ,"light (of food, not greasy or strongly flavored) / insipid / slack (sales)",
清晰,ㄑㄧㄥ ㄒㄧ,clear / distinct,
清醒,ㄑㄧㄥ ㄒㄧㄥˇ,clear-headed / sober / awake,
輕傷,ㄑㄧㄥ ㄕㄤ,lightly wounded / minor injuries,
輕視,ㄑㄧㄥ ㄕˋ,contempt / contemptuous / to despise / to scorn / scornful,
傾向,ㄑㄧㄥ ㄒㄧㄤˋ,trend / tendency / orientation,
情書,ㄑㄧㄥˊ ㄕㄨ,love letter,
情緒,ㄑㄧㄥˊ ㄒㄩˋ,mood / state of mind / moodiness,種
秋季,ㄑㄧㄡ ㄐㄧˋ,autumn / fall,
求婚,ㄑㄧㄡˊ ㄏㄨㄣ,to propose marriage,
球隊,ㄑㄧㄡˊ ㄉㄨㄟˋ,"sports team (basketball, soccer, football etc)",
球鞋,ㄑㄧㄡˊ ㄒㄧㄝˊ,athletic shoes,
曲折,ㄑㄩ ㄓㄜˊ,winding / (fig.) complicated,
區別,ㄑㄩ ㄅㄧㄝˊ,difference / to distinguish / to discriminate / to make a distinction,個
區別,ㄑㄩ ㄅㄧㄝˊ,difference / to distinguish / to discriminate / to make a distinction,個
區域,ㄑㄩ ㄩˋ,area / region / district,
取,ㄑㄩˇ,to take / to get / to choose / to fetch,
取得,ㄑㄩˇ ㄉㄜˊ,to acquire / to get / to obtain,
取笑,ㄑㄩˇ ㄒㄧㄠˋ,to tease / to make fun of,
取消,ㄑㄩˇ ㄒㄧㄠ,to cancel / cancellation,
娶,ㄑㄩˇ,to take a wife / to marry (a woman),
去,ㄑㄩˋ,to go / to go to (a place) / (of a time etc) last / just passed / to send / to remove / to get rid of / to reduce / to be apart from in space or time / to die (euphemism) / to play (a part) / (when used either before or after a verb) to go in order to do sth / (after a verb of motion indicates movement away from the speaker) / (used after certain verbs to indicate detachment or separation),
圈,ㄑㄩㄢ,"circle / ring / loop / classifier for loops, orbits, laps of race etc / to surround / to circle",個
全家,ㄑㄩㄢˊ ㄐㄧㄚ,whole family,
全面,ㄑㄩㄢˊ ㄇㄧㄢˋ,all-around / comprehensive / total / overall,
全面,ㄑㄩㄢˊ ㄇㄧㄢˋ,all-around / comprehensive / total / overall,
全體,ㄑㄩㄢˊ ㄊㄧˇ,all / entire,
拳頭,ㄑㄩㄢˊ ㄊㄡ˙,fist / clenched fist / competitive (product),個
權利,ㄑㄩㄢˊ ㄌㄧˋ,right (i.e. an entitlement to sth) / (classical) power and wealth,
勸,ㄑㄩㄢˋ,to advise / to urge / to try to persuade / to exhort / to console / to soothe,
缺,ㄑㄩㄝ,deficiency / lack / scarce / vacant post / to run short of,
缺乏,ㄑㄩㄝ ㄈㄚˊ,to lack / to be short of / lack / shortage,
缺少,ㄑㄩㄝ ㄕㄠˇ,lack / shortage of / shortfall / to be short (of) / to lack,
缺席,ㄑㄩㄝ ㄒㄧˊ,absence / absent,
確實,ㄑㄩㄝˋ ㄕˊ,indeed / really / reliable / real / true,
群,ㄑㄩㄣˊ,"group / crowd / flock, herd, pack etc",
群眾,ㄑㄩㄣˊ ㄓㄨㄥˋ,mass / multitude / the masses,
然而,ㄖㄢˊ ㄦˊ,however / yet / but,
燃料,ㄖㄢˊ ㄌㄧㄠˋ,fuel,
燃燒,ㄖㄢˊ ㄕㄠ,to ignite / to combust / to burn / combustion / flaming,
染,ㄖㄢˇ,to dye / to catch (a disease) / to acquire (bad habits etc) / to contaminate / to add color washes to a painting,
讓,ㄖㄤˋ,"to yield / to permit / to let sb do sth / to have sb do sth / to make sb (feel sad etc) / by (indicates the agent in a passive clause, like 被[bei4])",
讓步,ㄖㄤˋ ㄅㄨˋ,to concede / to give in / to yield / a concession / (linguistics) concessive,
繞,ㄖㄠˋ,to wind / to coil (thread) / to rotate around / to spiral / to move around / to go round (an obstacle) / to by-pass / to make a detour / to confuse / to perplex,
惹,ㄖㄜˇ,to provoke / to irritate / to vex / to stir up / to anger / to attract (troubles) / to cause (problems),
惹,ㄖㄜˇ,to provoke / to irritate / to vex / to stir up / to anger / to attract (troubles) / to cause (problems),
熱愛,ㄖㄜˋ ㄞˋ,to love ardently / to adore,
熱烈,ㄖㄜˋ ㄌㄧㄝˋ,enthusiastic / ardent / warm,
熱門,ㄖㄜˋ ㄇㄣˊ,popular / hot / in vogue,
熱情,ㄖㄜˋ ㄑㄧㄥˊ,cordial / enthusiastic / passion / passionate / passionately,
熱情,ㄖㄜˋ ㄑㄧㄥˊ,cordial / enthusiastic / passion / passionate / passionately,
熱心,ㄖㄜˋ ㄒㄧㄣ,enthusiasm / zeal / zealous / zest / enthusiastic / ardent / warmhearted,
人才,ㄖㄣˊ ㄘㄞˊ,talent / talented person / looks / attractive looks,
人格,ㄖㄣˊ ㄍㄜˊ,personality / integrity / dignity,
人工,ㄖㄣˊ ㄍㄨㄥ,artificial / manpower / manual work,
人力,ㄖㄣˊ ㄌㄧˋ,manpower / labor power,
人情味,ㄖㄣˊ ㄑㄧㄥˊ ㄨㄟˋ,human warmth / friendliness / human touch,
人情味兒,ㄖㄣˊ ㄑㄧㄥˊ ㄨㄟˋ ㄦ,erhua variant of 人情味[ren2 qing2 wei4],
人權,ㄖㄣˊ ㄑㄩㄢˊ,human rights,
